SN: 20240008
Software version: 3.0

1998,1724409340,2024/8/23 10:35:40,81.18,29.08,209.06,1911.75,3828.12,0,0,0,1,1,2024-08-23T10:35:40Z
4000,1724409342,2024/8/23 10:35:42,81.66,29.10,797.44,1912.50,3828.12,0,0,0,2,1,2024-08-23T10:35:42Z
5999,1724409344,2024/8/23 10:35:44,82.57,29.11,921.56,1912.31,3828.12,0,0,0,3,1,2024-08-23T10:35:44Z
7999,1724409346,2024/8/23 10:35:46,82.90,29.11,574.5,1912.88,3833.01,0,0,0,4,1,2024-08-23T10:35:46Z
9999,1724409348,2024/8/23 10:35:48,83.17,29.12,412.5,1913.25,3823.24,0,0,0,5,1,2024-08-23T10:35:48Z
11999,1724409350,2024/8/23 10:35:50,83.33,29.12,347.44,1913.44,3833.01,0,0,0,6,1,2024-08-23T10:35:50Z
13999,1724409352,2024/8/23 10:35:52,83.36,29.13,311.25,1913.81,3828.12,0,0,0,7,1,2024-08-23T10:35:52Z
15998,1724409354,2024/8/23 10:35:54,83.19,29.11,288.19,1914.19,3833.01,0,0,0,8,1,2024-08-23T10:35:54Z
17999,1724409356,2024/8/23 10:35:56,83.01,29.11,272.06,1914.19,3837.89,0,0,0,9,1,2024-08-23T10:35:56Z
19998,1724409358,2024/8/23 10:35:58,83.03,29.13,261,1914.75,3833.01,0,0,0,10,1,2024-08-23T10:35:58Z
21999,1724409360,2024/8/23 10:36:0,83.06,29.15,252.94,1915.13,3842.77,0,0,0,11,1,2024-08-23T10:36:00Z
23999,1724409362,2024/8/23 10:36:2,83.14,29.15,247.13,1915.13,3833.01,0,0,0,12,1,2024-08-23T10:36:02Z
25999,1724409364,2024/8/23 10:36:4,83.12,29.14,243.19,1915.69,3828.12,0,0,0,13,1,2024-08-23T10:36:04Z
27999,1724409366,2024/8/23 10:36:6,83.28,29.17,240.19,1916.06,3837.89,0,0,0,14,1,2024-08-23T10:36:06Z
29999,1724409368,2024/8/23 10:36:8,83.17,29.17,238.13,1916.25,3833.01,0,0,0,15,1,2024-08-23T10:36:08Z
31998,1724409370,2024/8/23 10:36:10,82.85,29.18,236.63,1916.63,3837.89,0,0,0,16,1,2024-08-23T10:36:10Z
33999,1724409372,2024/8/23 10:36:12,82.62,29.18,235.88,1916.63,3833.01,0,0,0,17,1,2024-08-23T10:36:12Z
35998,1724409374,2024/8/23 10:36:14,82.57,29.18,235.31,1917.38,3842.77,0,0,0,18,1,2024-08-23T10:36:14Z
37999,1724409376,2024/8/23 10:36:16,82.44,29.20,235.31,1917.38,3828.12,0,0,0,19,1,2024-08-23T10:36:16Z
39999,1724409378,2024/8/23 10:36:18,82.33,29.22,235.31,1917.75,3833.01,0,0,0,20,1,2024-08-23T10:36:18Z
41999,1724409380,2024/8/23 10:36:20,82.18,29.22,235.69,1918.13,3833.01,0,0,0,21,1,2024-08-23T10:36:20Z
43999,1724409382,2024/8/23 10:36:22,82.25,29.22,236.25,1918.50,3833.01,0,0,0,22,1,2024-08-23T10:36:22Z
45999,1724409384,2024/8/23 10:36:24,82.24,29.21,237.19,1918.88,3837.89,0,0,0,23,1,2024-08-23T10:36:24Z
47998,1724409386,2024/8/23 10:36:26,82.06,29.24,238.13,1919.25,3837.89,0,0,0,24,1,2024-08-23T10:36:26Z
49998,1724409388,2024/8/23 10:36:28,81.98,29.25,239.25,1919.81,3833.01,0,0,0,25,1,2024-08-23T10:36:28Z
51999,1724409390,2024/8/23 10:36:30,81.88,29.28,240.56,1920.56,3833.01,0,0,0,26,1,2024-08-23T10:36:30Z
53999,1724409392,2024/8/23 10:36:32,81.75,29.26,241.88,1920.94,3837.89,0,0,0,27,1,2024-08-23T10:36:32Z
56000,1724409394,2024/8/23 10:36:34,81.58,29.29,243.19,1921.13,3828.12,0,0,0,28,1,2024-08-23T10:36:34Z
57999,1724409396,2024/8/23 10:36:36,81.60,29.26,244.31,1921.88,3842.77,0,0,0,29,1,2024-08-23T10:36:36Z
59999,1724409398,2024/8/23 10:36:38,81.70,29.28,245.81,1922.06,3837.89,0,0,0,30,1,2024-08-23T10:36:38Z
