SN: 20240008
Software version: 3.0

1998,1738058865,2025/1/28 10:7:45,49.35,14.25,545.63,1675.69,3823.24,0,0,0,1,1,NA,NA,2025-01-28T10:07:45Z
3998,1738058867,2025/1/28 10:7:47,49.23,14.26,604.13,1675.88,3828.12,0,0,0,2,1,NA,NA,2025-01-28T10:07:47Z
5999,1738058869,2025/1/28 10:7:49,49.17,14.25,353.63,1675.69,3833.01,0,0,0,3,1,NA,NA,2025-01-28T10:07:49Z
7998,1738058871,2025/1/28 10:7:51,49.15,14.31,260.44,1675.69,3823.24,0,0,0,4,1,NA,NA,2025-01-28T10:07:51Z
9999,1738058873,2025/1/28 10:7:53,49.64,14.27,213.38,1674.19,3828.12,0,0,0,5,1,NA,NA,2025-01-28T10:07:53Z
11999,1738058875,2025/1/28 10:7:55,49.62,14.25,185.25,1674,3833.01,0,0,0,6,1,NA,NA,2025-01-28T10:07:55Z
14000,1738058877,2025/1/28 10:7:571998,1738058882,NA,49.98,14.33,140.25,1675.13,3837.89,0,0,0,TRUE,TRUE,2025-01-28T10:07:57Z
3999,1738058884,2025/1/28 10:8:4,50.27,14.39,151.13,1675.69,3833.01,0,0,0,2,1,NA,NA,2025-01-28T10:08:04Z
5998,1738058886,2025/1/28 10:8:6,50,14.35,152.63,1675.88,3833.01,0,0,0,3,1,NA,NA,2025-01-28T10:08:06Z
7999,1738058888,2025/1/28 10:8:8,49.73,14.37,151.13,1675.69,3833.01,0,0,0,4,1,NA,NA,2025-01-28T10:08:08Z
9999,1738058890,2025/1/28 10:8:10,49.49,14.37,149.81,1676.06,3833.01,0,0,0,5,1,NA,NA,2025-01-28T10:08:10Z
12000,1738058892,2025/1/28 10:8:12,49.26,14.32,148.5,1675.69,3828.12,0,0,0,6,1,NA,NA,2025-01-28T10:08:12Z
14000,1738058894,2025/1/28 10:8:14,49.13,14.3,147.94,1674.75,3813.48,0,0,0,7,1,NA,NA,2025-01-28T10:08:14Z
15998,1738058896,2025/1/28 10:8:16,49,14.35,147.94,1675.13,3833.01,0,0,0,8,1,NA,NA,2025-01-28T10:08:16Z
17999,1738058898,2025/1/28 10:8:18,48.93,14.29,147.94,1674.56,3828.12,0,0,0,9,1,NA,NA,2025-01-28T10:08:18Z
19999,1738058900,2025/1/28 10:8:20,49.13,14.29,148.13,1675.31,3823.24,0,0,0,10,1,NA,NA,2025-01-28T10:08:20Z
21999,1738058902,2025/1/28 10:8:22,49.83,14.25,147.75,1675.88,3837.89,0,0,0,11,1,NA,NA,2025-01-28T10:08:22Z
23999,1738058904,2025/1/28 10:8:24,49.85,14.31,147.75,1677,3833.01,0,0,0,12,1,NA,NA,2025-01-28T10:08:24Z
26000,1738058906,2025/1/28 10:8:26,49.5,14.33,148.69,1677.56,3828.12,0,0,0,13,1,NA,NA,2025-01-28T10:08:26Z
28000,1738058908,2025/1/28 10:8:28,49.03,14.33,150,1678.5,3837.89,0,0,0,14,1,NA,NA,2025-01-28T10:08:28Z
29999,1738058910,2025/1/28 10:8:30,48.21,14.35,151.13,1678.88,3833.01,0,0,0,15,1,NA,NA,2025-01-28T10:08:30Z
32000,1738058912,2025/1/28 10:8:32,47.48,14.34,152.63,1679.63,3833.01,0,0,0,16,1,NA,NA,2025-01-28T10:08:32Z
33998,1738058914,2025/1/28 10:8:34,46.9,14.34,154.13,1680.19,3828.12,0,0,0,17,1,NA,NA,2025-01-28T10:08:34Z
35999,1738058916,2025/1/28 10:8:36,46.43,14.36,155.44,1680.75,3823.24,0,0,0,18,1,NA,NA,2025-01-28T10:08:36Z
