SN: 20240008
Software version: 3.0

1999,1724736589,2024/8/27 5:29:49,71.00,24.60,1151.63,1844.44,3823.24,0,0,0,1,1,2024-08-27T05:29:49Z
4000,1724736591,2024/8/27 5:29:51,73.14,24.60,1502.44,1844.81,3823.24,0,0,0,2,1,2024-08-27T05:29:51Z
5999,1724736593,2024/8/27 5:29:53,74.13,24.61,507.56,1845.00,3823.24,0,0,0,3,1,2024-08-27T05:29:53Z
7999,1724736595,2024/8/27 5:29:55,74.65,24.60,340.5,1845.19,3823.24,0,0,0,4,1,2024-08-27T05:29:55Z
9999,1724736597,2024/8/27 5:29:57,74.22,24.59,286.13,1845.56,3823.24,0,0,0,5,1,2024-08-27T05:29:57Z
11999,1724736599,2024/8/27 5:29:59,73.30,24.57,255,1845.75,3828.12,0,0,0,6,1,2024-08-27T05:29:59Z
14000,1724736601,2024/8/27 5:30:1,72.32,24.60,235.13,1845.75,3828.12,0,0,0,7,1,2024-08-27T05:30:01Z
15998,1724736603,2024/8/27 5:30:3,71.36,24.62,221.63,1845.75,3828.12,0,0,0,8,1,2024-08-27T05:30:03Z
17999,1724736605,2024/8/27 5:30:5,69.91,24.62,213.19,1845.94,3828.12,0,0,0,9,1,2024-08-27T05:30:05Z
19998,1724736607,2024/8/27 5:30:7,69.97,24.62,207.19,1845.75,3828.12,0,0,0,10,1,2024-08-27T05:30:07Z
21999,1724736609,2024/8/27 5:30:9,69.89,24.62,203.44,1845.94,3823.24,0,0,0,11,1,2024-08-27T05:30:09Z
24000,1724736611,2024/8/27 5:30:11,69.29,24.62,200.63,1846.13,3833.01,0,0,0,12,1,2024-08-27T05:30:11Z
25999,1724736613,2024/8/27 5:30:13,68.75,24.62,198.94,1845.94,3828.12,0,0,0,13,1,2024-08-27T05:30:13Z
27999,1724736615,2024/8/27 5:30:15,68.20,24.59,198.19,1846.31,3828.12,0,0,0,14,1,2024-08-27T05:30:15Z
29999,1724736617,2024/8/27 5:30:17,67.65,24.61,198.38,1846.31,3833.01,0,0,0,15,1,2024-08-27T05:30:17Z
31998,1724736619,2024/8/27 5:30:19,67.22,24.62,198.56,1846.50,3833.01,0,0,0,16,1,2024-08-27T05:30:19Z
33999,1724736621,2024/8/27 5:30:21,66.92,24.61,199.31,1846.88,3818.36,0,0,0,17,1,2024-08-27T05:30:21Z
