SN: 20240008
Software version: 3.0

81998,1721384616,2024/7/19 10:23:36,77.77,25.26,212.44,1863.94,3818.36,0,0,0,41,1,2024-07-19T10:23:36Z
83999,1721384618,2024/7/19 10:23:38,77.76,25.31,213.94,1864.69,3818.36,0,0,0,42,1,2024-07-19T10:23:38Z
86000,1721384620,2024/7/19 10:23:40,77.82,25.34,215.06,1865.06,3823.24,0,0,0,43,1,2024-07-19T10:23:40Z
87999,1721384622,2024/7/19 10:23:42,77.84,25.33,216.38,1865.81,3818.36,0,0,0,44,1,2024-07-19T10:23:42Z
89999,1721384624,2024/7/19 10:23:44,77.80,25.36,217.69,1866.38,3828.12,0,0,0,45,1,2024-07-19T10:23:44Z
91999,1721384626,2024/7/19 10:23:46,77.76,25.37,218.63,1867.13,3808.59,0,0,0,46,1,2024-07-19T10:23:46Z
94000,1721384628,2024/7/19 10:23:48,77.69,25.40,219.94,1867.88,3833.01,0,0,0,47,1,2024-07-19T10:23:48Z
96000,1721384630,2024/7/19 10:23:50,77.59,25.41,221.06,1868.25,3823.24,0,0,0,48,1,2024-07-19T10:23:50Z
97999,1721384632,2024/7/19 10:23:52,77.42,25.40,222.19,1868.81,3818.36,0,0,0,49,1,2024-07-19T10:23:52Z
99998,1721384634,2024/7/19 10:23:54,77.31,25.42,223.5,1869.56,3828.12,0,0,0,50,1,2024-07-19T10:23:54Z
101999,1721384636,2024/7/19 10:23:56,77.24,25.44,224.81,1870.31,3833.01,0,0,0,51,1,2024-07-19T10:23:56Z
103999,1721384638,2024/7/19 10:23:58,77.24,25.46,225.75,1870.88,3828.12,0,0,0,52,1,2024-07-19T10:23:58Z
105998,1721384640,2024/7/19 10:24:0,77.19,25.46,227.06,1871.44,3828.12,0,0,0,53,1,2024-07-19T10:24:00Z
107999,1721384642,2024/7/19 10:24:2,77.14,25.48,228,1872.19,3828.12,0,0,0,54,1,2024-07-19T10:24:02Z
109999,1721384644,2024/7/19 10:24:4,77.08,25.49,229.31,1872.75,3818.36,0,0,0,55,1,2024-07-19T10:24:04Z
112000,1721384646,2024/7/19 10:24:6,77.00,25.50,230.25,1873.50,3828.12,0,0,0,56,1,2024-07-19T10:24:06Z
113999,1721384648,2024/7/19 10:24:8,76.97,25.52,231.38,1874.06,3823.24,0,0,0,57,1,2024-07-19T10:24:08Z
115999,1721384650,2024/7/19 10:24:10,76.94,25.56,232.5,1874.81,3837.89,0,0,0,58,1,2024-07-19T10:24:10Z
117999,1721384652,2024/7/19 10:24:12,76.90,25.56,233.44,1875.19,3828.12,0,0,0,59,1,2024-07-19T10:24:12Z
119999,1721384654,2024/7/19 10:24:14,76.85,25.58,234.56,1875.75,3828.12,0,0,0,60,1,2024-07-19T10:24:14Z
121999,1721384656,2024/7/19 10:24:16,76.78,25.61,235.31,1876.69,3823.24,0,0,0,61,1,2024-07-19T10:24:16Z
124000,1721384658,2024/7/19 10:24:18,76.72,25.65,236.44,1877.25,3833.01,0,0,0,62,1,2024-07-19T10:24:18Z
126000,1721384661,2024/7/19 10:24:21,76.76,25.69,237.38,1878.00,3818.36,0,0,0,63,1,2024-07-19T10:24:21Z
128000,1721384663,2024/7/19 10:24:23,76.66,25.71,238.31,1878.56,3828.12,0,0,0,64,1,2024-07-19T10:24:23Z
129999,1721384665,2024/7/19 10:24:25,76.59,25.71,239.25,1879.50,3823.24,0,0,0,65,1,2024-07-19T10:24:25Z
131998,1721384667,2024/7/19 10:24:27,76.48,25.72,240.19,1880.06,3828.12,0,0,0,66,1,2024-07-19T10:24:27Z
133999,1721384669,2024/7/19 10:24:29,76.38,25.74,241.13,1880.63,3823.24,0,0,0,67,1,2024-07-19T10:24:29Z
135999,1721384671,2024/7/19 10:24:31,76.29,25.74,242.06,1881.56,3818.36,0,0,0,68,1,2024-07-19T10:24:31Z
137999,1721384673,2024/7/19 10:24:33,76.24,25.78,243,1881.94,3823.24,0,0,0,69,1,2024-07-19T10:24:33Z
139999,1721384675,2024/7/19 10:24:35,76.13,25.82,243.75,1882.88,3823.24,0,0,0,70,1,2024-07-19T10:24:35Z
142000,1721384677,2024/7/19 10:24:37,76.06,25.84,244.5,1883.25,3828.12,0,0,0,71,1,2024-07-19T10:24:37Z
144000,1721384679,2024/7/19 10:24:39,75.97,25.85,245.44,1884.00,3828.12,0,0,0,72,1,2024-07-19T10:24:39Z
145999,1721384681,2024/7/19 10:24:41,75.88,25.88,246.19,1884.75,3823.24,0,0,0,73,1,2024-07-19T10:24:41Z
147999,1721384683,2024/7/19 10:24:43,75.76,25.90,246.94,1885.31,3828.12,0,0,0,74,1,2024-07-19T10:24:43Z
149998,1721384685,2024/7/19 10:24:45,75.61,25.94,247.69,1885.88,3828.12,0,0,0,75,1,2024-07-19T10:24:45Z
151999,1721384687,2024/7/19 10:24:47,75.52,25.93,248.44,1886.81,3828.12,0,0,0,76,1,2024-07-19T10:24:47Z
153999,1721384689,2024/7/19 10:24:49,75.47,25.94,249.19,1887.38,3828.12,0,0,0,77,1,2024-07-19T10:24:49Z
156000,1721384691,2024/7/19 10:24:51,75.43,25.97,249.75,1887.94,3823.24,0,0,0,78,1,2024-07-19T10:24:51Z
